timestamp;symbol;price;delta;percentage
2023-03-28T01:30:00+00:00;PATT;64.406;0.0;0.0
2023-03-28T01:30:00+00:00;RUBI;314.067;0.0;0.0
2023-03-28T01:30:00+00:00;OB;67.397;0.0;0.0
2023-03-28T01:30:00+00:00;ROCH;585.4;0.0;0.0
2023-03-28T01:30:00+00:00;YO;8.76;0.0;0.0
2023-03-28T01:30:00+00:00;SMIT;104.22;0.0;0.0
2023-03-28T01:30:00+00:00;CAM;110.618;0.0;0.0
2023-03-28T01:30:00+00:00;WH;28.883;0.0;0.0
2023-03-28T01:30:00+00:00;GR;61.325;0.0;0.0
2023-03-28T01:30:00+00:00;MCBR;40.456;0.0;0.0
2023-03-28T01:30:00+00:00;SW;73.787;0.0;0.0
2023-03-28T01:30:00+00:00;BE;240.818;0.0;0.0
2023-03-28T01:30:00+00:00;RIC;55.0;0.0;0.0
2023-03-28T01:30:00+00:00;HO;106.736;0.0;0.0
2023-03-28T01:30:00+00:00;JAC;107.337;0.0;0.0
2023-03-28T01:30:00+00:00;AY;87.809;0.0;0.0
2023-03-28T01:30:00+00:00;JOR;122.522;0.0;0.0
2023-03-28T01:30:00+00:00;ROSE;356.579;0.0;0.0
2023-03-28T01:30:00+00:00;ST;97.853;0.0;0.0
2023-03-28T01:30:00+00:00;EVA;84.138;0.0;0.0
2023-03-28T01:30:00+00:00;ROB;45.398;0.0;0.0
2023-03-28T01:30:00+00:00;ANDE;212.488;0.0;0.0
2023-03-28T01:30:00+00:00;GRE;20.125;0.0;0.0
2023-03-28T01:30:00+00:00;RYA;11.613;0.0;0.0
2023-03-28T01:30:00+00:00;DA;104.16;0.0;0.0
2023-03-28T01:30:00+00:00;BEN;58.4;0.0;0.0
2023-03-28T01:30:00+00:00;WR;25.112;0.0;0.0
2023-03-28T01:30:00+00:00;CR;108.419;0.0;0.0
2023-03-28T01:30:00+00:00;LEWI;51.736;0.0;0.0
2023-03-28T01:30:00+00:00;LAM;205.5;0.0;0.0
2023-03-28T01:30:00+00:00;TURN;89.952;0.0;0.0
2023-03-28T01:30:00+00:00;NEWT;13.104;0.0;0.0
2023-03-28T01:30:00+00:00;FUE;68.382;0.0;0.0
2023-03-28T01:30:00+00:00;JIME;93.603;0.0;0.0
2023-03-28T01:30:00+00:00;CO;28.592;0.0;0.0
2023-03-28T01:30:00+00:00;MUNO;537.562;0.0;0.0
2023-03-28T01:30:00+00:00;HAR;66.062;0.0;0.0
2023-03-28T01:30:00+00:00;HUGH;103.237;0.0;0.0
2023-03-28T01:30:00+00:00;PIE;114.69;0.0;0.0
2023-03-28T01:30:00+00:00;JON;80.411;0.0;0.0
2023-03-28T01:30:00+00:00;MOR;182.654;0.0;0.0
2023-03-28T01:30:00+00:00;JO;19.734;0.0;0.0
2023-03-28T01:30:00+00:00;ALL;125.649;0.0;0.0
2023-03-28T01:30:00+00:00;COLE;92.919;0.0;0.0
2023-03-28T01:30:00+00:00;WOO;12.036;0.0;0.0
2023-03-28T01:30:00+00:00;RIGG;111.798;0.0;0.0
2023-03-28T01:30:00+00:00;BRO;129.524;0.0;0.0
2023-03-28T01:30:00+00:00;BURN;99.538;0.0;0.0
2023-03-28T01:30:00+00:00;BUR;121.282;0.0;0.0
2023-03-28T01:30:00+00:00;SHEP;57.0;0.0;0.0
2023-03-28T01:30:00+00:00;WALS;499.643;0.0;0.0
2023-03-28T01:30:00+00:00;MU;830.2;0.0;0.0
2023-03-28T01:30:00+00:00;COO;101.103;0.0;0.0
2023-03-28T01:30:00+00:00;GARC;13.0;0.0;0.0
2023-03-28T01:30:00+00:00;PRA;172.732;0.0;0.0
2023-03-28T01:30:00+00:00;MART;405.789;0.0;0.0
2023-03-28T01:30:00+00:00;FIT;156.724;0.0;0.0
2023-03-28T01:30:00+00:00;MCDA;711.308;0.0;0.0
2023-03-28T01:30:00+00:00;REED;130.677;0.0;0.0
2023-03-28T01:30:00+00:00;MA;5.873;0.0;0.0
2023-03-28T01:30:00+00:00;WEI;32.327;0.0;0.0
2023-03-28T01:30:00+00:00;MAL;11.039;0.0;0.0
2023-03-28T01:30:00+00:00;LY;143.662;0.0;0.0
2023-03-28T01:30:00+00:00;OWEN;494.062;0.0;0.0
2023-03-28T01:30:00+00:00;NORT;58.0;0.0;0.0
2023-03-28T01:30:00+00:00;SUTT;905.0;0.0;0.0
2023-03-28T01:30:00+00:00;PEAR;140.182;0.0;0.0
2023-03-28T01:30:00+00:00;TYLE;49.816;0.0;0.0
2023-03-28T01:30:00+00:00;BONI;112.656;0.0;0.0
2023-03-28T01:30:00+00:00;WANG;49.955;0.0;0.0
2023-03-28T01:30:00+00:00;RICH;61.118;0.0;0.0
2023-03-28T01:30:00+00:00;AC;246.824;0.0;0.0
2023-03-28T01:30:00+00:00;WARD;126.553;0.0;0.0
2023-03-28T01:30:00+00:00;DAY;182.659;0.0;0.0
2023-03-28T01:30:00+00:00;THOM;318.227;0.0;0.0
2023-03-28T01:30:00+00:00;ALEX;37.258;0.0;0.0
2023-03-28T01:30:00+00:00;PA;458.688;0.0;0.0
2023-03-28T01:30:00+00:00;JOH;102.305;0.0;0.0
2023-03-28T01:30:00+00:00;HA;42.56;0.0;0.0
2023-03-28T01:30:00+00:00;PERE;128.7;0.0;0.0
2023-03-28T01:30:00+00:00;OD;176.214;0.0;0.0
2023-03-28T01:30:00+00:00;GREG;114.372;0.0;0.0
2023-03-28T01:30:00+00:00;TO;80.974;0.0;0.0
2023-03-28T01:30:00+00:00;BR;1.31;0.0;0.0
2023-03-28T01:30:00+00:00;RE;247.773;0.0;0.0
2023-03-28T01:30:00+00:00;BO;981.111;0.0;0.0
2023-03-28T01:30:00+00:00;BEL;79.348;0.0;0.0
2023-03-28T01:30:00+00:00;CA;2.125;0.0;0.0
2023-03-28T01:30:00+00:00;ALV;497.667;0.0;0.0
2023-03-28T01:30:00+00:00;THO;22.735;0.0;0.0
2023-03-28T01:30:00+00:00;WI;46.186;0.0;0.0
2023-03-28T01:30:00+00:00;RAMO;27.5;0.0;0.0
2023-03-28T01:30:00+00:00;ZAM;54.602;0.0;0.0
2023-03-28T01:30:00+00:00;CART;19.16;0.0;0.0
